,title,star,review,Cleaned
212,سعید غریبی,5.0,خیلی با صفاست حتما یه سر بزنید,خیلی با صفاست حتما یه سر بزنید
213,Parviz Noroozi,3.0,نسبت به چندسال گذشته تغییرات محسوس نشده,نسبت به چندسال گذشته تغییرات محسوس نشده
214,Hamid Shirvani,3.0,وقتی از شهر بروجن در مسیر بروجن لردگان حرکت کنیم حدود ۱۵ کیلومتر که از بروجن دور شویم بعد از مجتمع رفاهی نگین سمت راست به سمت بلداجی حرکت میکنیم . بلداجی بزرگترین مرکز تولید گز در کشور واستان است . بعد از شهر بلداجی اولین سه راهی را به سمت چپ و در مسیر حرکت به سمت تالاب چغاخور ادامه میدهیم . در میانه راه سمت راست جاده مکانی سر سبز در دامنه کوه وبقعه امام زاده ای در بالای ان . دسترسی امام زاده با راه اسفالت میسر میگردد. امام زاده از نوادگان حضرت سجاد میباشد . این مکان در زمانی بین تیموریان و دوره قاجار بوده که در سالهای اخیر بصورت کامل تغییر یافته . در پایین دست سرویس بهداشتی . بازار فصلی . استراحتگاه وسکوهایی برای اتراق وجود دارد . در فصول گرم گردشگران در این محل اسکان وچادر بر پا میکنند . امکان کوهپیمایی و عکاسی وجود دارد,وقتی از شهر بروجن در مسیر بروجن لردگان حرکت کنیم حدود 15 کیلومتر که از بروجن دور شویم بعد از مجتمع رفاهی نگین سمت راست به سمت بلداجی حرکت میکنیم بلداجی بزرگترین مرکز تولید گز در کشور واستان است بعد از شهر بلداجی اولین سه راهی را به سمت چپ و در مسیر حرکت به سمت تالاب چغاخور ادامه میدهیم در میانه راه سمت راست جاده مکانی سر سبز در دامنه کوه وبقعه امام زاده ای در بالای ان دسترسی امام زاده با راه اسفالت میسر میگردد امام زاده از نوادگان حضرت سجاد میباشد این مکان در زمانی بین تیموریان و دوره قاجار بوده که در سالهای اخیر بصورت کامل تغییر یافته در پایین دست سرویس بهداشتی بازار فصلی استراحتگاه وسکوهایی برای اتراق وجود دارد در فصول گرم گردشگران در این محل اسکان وچادر بر پا میکنند امکان کوهپیمایی و عکاسی وجود دارد
215,جواد محمدی,5.0,امامزاده حمزه علی یکی از مکان های متبرکه مذهبی فرهنگی سیاحتی و زیارتی استان چهارمحال بختیاری است که هر سال زوار زیادی از سراسر نقاط کشور علی الخصوص استان اصفهان را پذیرا میباشد که خیل عظیم عشاقان این مکان متبرک و مذهبی در فصل تابستان بلحاظ آب و هوای خنک و دلچسب اوست امید است شما هم جهت زیارت و تفریح این مکان را زیارت کنید.,امامزاده حمزه علی یکی از مکان های متبرکه مذهبی فرهنگی سیاحتی و زیارتی استان چهارمحال بختیاری است که هر سال زوار زیادی از سراسر نقاط کشور علی الخصوص استان اصفهان را پذیرا میباشد که خیل عظیم عشاقان این مکان متبرک و مذهبی در فصل تابستان بلحاظ آب و هوای خنک و دلچسب اوست امید است شما هم جهت زیارت و تفریح این مکان را زیارت کنید 
216,Adel Chami,1.0,یه جای خیلی عالی برای فصل بهار و تابستان جا برای خواب داره (چادر) کنار تالاب هم صبح زیبایی داره به نظر من هر نفر باید یک بار بره تا بدونند ایران چه زیباست,یه جای خیلی عالی برای فصل بهار و تابستان جا برای خواب داره چادر کنار تالاب هم صبح زیبایی داره به نظر من هر نفر باید یک بار بره تا بدونند ایران چه زیباست
217,Reza Rezai,4.0,مامزاده ای بر بالای تپه، معنوی و چشم نواز، دارای پارکینگ و امکانات مناسب، ولی برای مسافرین اتاق نداره و شب رو اگه هوا خوب باشه میشه بیرون حرم چادر زد، معروف و مورد توجه در استان چهار محال و بختیاری، التماس دعا از عزیزانی ک مشرف میشن ، زیارت قبول,مامزاده ای بر بالای تپه معنوی و چشم نواز دارای پارکینگ و امکانات مناسب ولی برای مسافرین اتاق نداره و شب رو اگه هوا خوب باشه میشه بیرون حرم چادر زد معروف و مورد توجه در استان چهار محال و بختیاری التماس دعا از عزیزانی ک مشرف میشن زیارت قبول
218,بیژن سلمانپور,3.0,یک امام زاده در ارتفاع یک کوه کوچک با منظره زیبا . با امکانات اسکان جای ارزان و امن و سرویس بهداشتی و مقداری فضای سبز. باید توجه داشت که باد شدیدی در بالا میوزد . اگر نصف شب هم واجب شد که اونجا اسکان داشته باشید در قسمت حرم نگهبان همیشه هست و اتاق برایتان فراهم‌میکند,یک امام زاده در ارتفاع یک کوه کوچک با منظره زیبا با امکانات اسکان جای ارزان و امن و سرویس بهداشتی و مقداری فضای سبز باید توجه داشت که باد شدیدی در بالا میوزد اگر نصف شب هم واجب شد که اونجا اسکان داشته باشید در قسمت حرم نگهبان همیشه هست و اتاق برایتان فراهم‌میکند
219,Reza Mardani,5.0,مکانی بسیار زیبا و با آب و هوای خنک.شاخص ترین و پرجمعیت ترین امام زاده در استان چهارمحال.در کنار شهر بلداجی با مردمانی ترک زبان .معروف به پایتخت گز ایران با انواع سوغات شیرین و محلی.شهر چادری حمزه علی بی نظیرترین شهر دنیا.فسیلهای بازمانده از اقیانوس باستانی تتیس بر روی کوه حمزه علی.,مکانی بسیار زیبا و با آب و هوای خنک شاخص ترین و پرجمعیت ترین امام زاده در استان چهارمحال در کنار شهر بلداجی با مردمانی ترک زبان معروف به پایتخت گز ایران با انواع سوغات شیرین و محلی شهر چادری حمزه علی بی نظیرترین شهر دنیا فسیلهای بازمانده از اقیانوس باستانی تتیس بر روی کوه حمزه علی 
220,David Daniali,2.0,امکانات رفاهی کمی داره بازارش زیاد دلچسب نیست ولی برای افردا مسن محلی نوستالژی خاصی هست اینجا. و همگی خاطراتی ازش دارن,امکانات رفاهی کمی داره بازارش زیاد دلچسب نیست ولی برای افردا مسن محلی نوستالژی خاصی هست اینجا و همگی خاطراتی ازش دارن
221,Muhammad Ghademi,4.0,یکی از محبوبترین امامزاده های چهارمحاله با ماشین میشه تا بالای تپه که امامزاده هم اونجاس رفت و خیلی خوبه مناظر ازون بالا زیبان,یکی از محبوبترین امامزاده های چهارمحاله با ماشین میشه تا بالای تپه که امامزاده هم اونجاس رفت و خیلی خوبه مناظر ازون بالا زیبان
222,ali solimani,5.0,جای زیبائیه منتهی در ایام و مناسبتهای خاص عملا دسترسی به سرویسهای بهداشتیش سخت میشه.اما امکان خوابیدن شبانه ش خوبه.,جای زیباییه منتهی در ایام و مناسبتهای خاص عملا دسترسی به سرویسهای بهداشتیش سخت میشه اما امکان خوابیدن شبانه ش خوبه 
223, حمیدرضا شریفی,4.0,زدیک سد چغاخوره .قبلا کلی مله باید میرفتی بالا ولی الآن چند سالیه که جاده کشی کردند و ویو قشنگی داره,زدیک سد چغاخوره قبلا کلی مله باید میرفتی بالا ولی الآن چند سالیه که جاده کشی کردند و ویو قشنگی داره
224,Masoud,5.0,سلام همه چیزموجوداست فقط تنها عیبی که من دیدم یک میوه فروش بیشترنیست که قبمت میوه هاراسه برابرجاهای دیگه میفروشه,سلام همه چیزموجوداست فقط تنها عیبی که من دیدم یک میوه فروش بیشترنیست که قبمت میوه هاراسه برابرجاهای دیگه میفروشه
225,R M,5.0,خوب بود اما باید بهتر رسیدگی بشه.جای بسیار زیبا و بکری هست.پتانسیلی خوبی داره برا گردشگری,خوب بود اما باید بهتر رسیدگی بشه جای بسیار زیبا و بکری هست پتانسیلی خوبی داره برا گردشگری
226,Ahmad R,1.0,زیاد جالب نبود فقط ازبالا که پایین رو نگاه میکنی منظره قشنگی میبینی,زیاد جالب نبود فقط ازبالا که پایین رو نگاه میکنی منظره قشنگی میبینی
227,Hadi Safari,3.0,محل امامزاده با توجه به قرارگرفتن روی کوه مشرف به زمینها اطراف است و زیباست ، از سویی نزدیک به تالاب چغاخور است,محل امامزاده با توجه به قرارگرفتن روی کوه مشرف به زمینها اطراف است و زیباست از سویی نزدیک به تالاب چغاخور است
228,s h,5.0,هیف. وصد هیف .امکانات حهت اسکان کمه..محل اسکان زائرینش هم خیلی بده.اول جای اسکان زائرین درست راشیش کنید ..,هیف وصد هیف امکانات حهت اسکان کمه محل اسکان زایرینش هم خیلی بده اول جای اسکان زایرین درست راشیش کنید 
229,Rasoul Namdari,3.0,زیاد تمیز نیست. ساختمان ضریح بوی بد میده. گرم تهویه نامناسب. اما.... امامزاده اتصال قوی با خدا داره,زیاد تمیز نیست ساختمان ضریح بوی بد میده گرم تهویه نامناسب اما امامزاده اتصال قوی با خدا داره
230,Hamed Sadaghat,3.0,امام زاده مهمی در غرب ایران است که زائرین فراوانی دارد و امکانات اسکان فراهم است و البته شهربازی و بازارچه دارد,امام زاده مهمی در غرب ایران است که زایرین فراوانی دارد و امکانات اسکان فراهم است و البته شهربازی و بازارچه دارد
231,مهدی قاسمی,5.0,👍👍👍👍👍,None
232,جمال رضوان,5.0,خوبه پنشنبه جمعه ها خیلی شلوغ و خوبه فقط ساختمان قبلیش خیلی قشنگ تر بود اما...,خوبه پنشنبه جمعه ها خیلی شلوغ و خوبه فقط ساختمان قبلیش خیلی قشنگ تر بود اما 
233,Reza Fazeli varzaneh,5.0,خیلی جالبه مخصوصا اون پله هایی که تا امامزاده باید طی کنی تا برسی,خیلی جالبه مخصوصا اون پله هایی که تا امامزاده باید طی کنی تا برسی
234,امیرروح اللهی,1.0,مکانی کاملا کثیف و بدون امکانات رفاهی اگر تا بلداجی رفتید برید دریاچه چغاخو خیلی بهتره,مکانی کاملا کثیف و بدون امکانات رفاهی اگر تا بلداجی رفتید برید دریاچه چغاخو خیلی بهتره
235,علی رضا شیروی,4.0,با اینکه چند ساعت بیشتر نموندیم ولی الان حسرت میخوریم,با اینکه چند ساعت بیشتر نموندیم ولی الان حسرت میخوریم
236,rouholah mirhaj,4.0,قدیما خیلی بهتر بود الان بهش رسیدگی کمتر میشه,قدیما خیلی بهتر بود الان بهش رسیدگی کمتر میشه
237,saeid ,5.0,شهربازی وطبیعت فوق العاده اون منطقه ادم به هیجان مینداخت,شهربازی وطبیعت فوق العاده اون منطقه ادم به هیجان مینداخت
238,Dawoodi 65,5.0,خیلی خوب بود خوش گذشت حتما برید,خیلی خوب بود خوش گذشت حتما برید
239,mehdi shamoli,5.0,خبلی جای خوش اب و هوا و سر سبزیه حتما یه سر بزنید,خبلی جای خوش اب و هوا و سر سبزیه حتما یه سر بزنید
240,iran driver,3.0,این امامزاده، مورد احترام خاص ساکنین است,این امامزاده مورد احترام خاص ساکنین است
241,محمد کاوه,5.0,امامزاده با صفایی که در نوک قله واقع شده,امامزاده با صفایی که در نوک قله واقع شده
242,مجتبی قنواتی,1.0,مادر و پدر زندایی دایی,مادر و پدر زندایی دایی
243,Meghdad Yousefi Ramandi,4.0,آب و هوای خوب و موقعیت خاص,آب و هوای خوب و موقعیت خاص
244,افشین حسنی,5.0,خیلی باصفا وباحال یاامام زاده حمزه علی,خیلی باصفا وباحال یاامام زاده حمزه علی
245,Hossein E,4.0,قبلا خیلی صفا داشت،خیییلی,قبلا خیلی صفا داشت خیلی
246,Arezoo,3.0,بد نیست,بد نیست
247,simin ghab,3.0,خوب است,خوب است
248,امیرحسین صادقیان,2.0,بدک نیست,بدک نیست
249,rasool faani,5.0,بدک نیست,بدک نیست
250,Aboutorab,5.0,خوب بود,خوب بود
251,mohammad Asi,5.0,هم جای تفریحی هم زیارتی,هم جای تفریحی هم زیارتی
252,hamed,5.0,عالی بود,عالی بود
253,اسدالله حسینی,5.0,خوب بود,خوب بود
254,madari,5.0,یه امام زاده تو طبیعت بکر,یه امام زاده تو طبیعت بکر
255,Rezai,5.0,بد نیس,بد نیس
256,حمیدرضا شریفی,5.0,جای زیبایی بود,جای زیبایی بود
257,ایزدی,2.0,از نظر نظافت ضعیف است,از نظر نظافت ضعیف است
258,akbari,3.0,خوبه مخصوصا شبا ,خوبه مخصوصا شبا
259,Arash Sabzhoohi,5.0,زیارتگاه,زیارتگاه
260,khajeh kulaki,5.0,تابستونا با صفایه,تابستونا با صفایه
262,Ali Bakhshi,5.0,خیلی خوب و عالی,خیلی خوب و عالی
263,Esmaeil A,4.0,عالی,عالی
264,مسلم مومنی,5.0,عالی,عالی
265,hosein B,4.0,خوش آب و هوا,خوش آب و هوا
266,Mahdi Shagholiyan Ghahfarokhy,2.0,امکاناتش کمه,امکاناتش کمه
267,ali assareh,5.0,حرم مطهر امامزاده حمزهعلی نه تنها محلی برای برگزاری مراسم مذهبی بلکه محلی برای خانواده ها برای تعطیلات آخر هفته و پیک نیک است. روی کوه واقع شده و خنک تر از بقیه مناطق است و در روزهای گرم تابستان مکان خوبی برای رفتن است.,حرم مطهر امامزاده حمزهعلی نه تنها محلی برای برگزاری مراسم مذهبی بلکه محلی برای خانواده ها برای تعطیلات آخر هفته و پیک نیک است روی کوه واقع شده و خنک تر از بقیه مناطق است و در روزهای گرم تابستان مکان خوبی برای رفتن است 
268,Gholamreza,5.0,خیلی جای جالبیه مکانی تاریخی با چشم انداز بسیار خوب. نزدیک تالاب چغاخور. شما می توانید انواع مختلفی از فسیل ها را در کوه پیدا کنید.,خیلی جای جالبیه مکانی تاریخی با چشم انداز بسیار خوب نزدیک تالاب چغاخور شما می توانید انواع مختلفی از فسیل ها را در کوه پیدا کنید 
269,Hossein Hazrati,3.0,دیدن اینجا خوب است. تلفیق طبیعت و دین.,دیدن اینجا خوب است تلفیق طبیعت و دین 
270,H R,4.0,یک مکان خوب برای سوارکاری در شب,یک مکان خوب برای سوارکاری در شب
271,Naser ariyaee,5.0,منطقه ای بسیار زیبا و رویایی با آب و هوایی بی نظیر,منطقه ای بسیار زیبا و رویایی با آب و هوایی بی نظیر
272,zahra,5.0,ابشار خیلی قشنگی داره و مسیرش هم برای افرادی که مبتدی یا متوسط هستند خوبه.کفش مناسب حتما بپوشید.قبل از رسیدن به ابشار خوراکی یا هرچیزی که پشت شیشه عقب دارید رو بردارید و قایم کنید.بچه ها یک دفعه به سمت ماشین میان و پول میخوان سعی کنید با دادن یک بسته پفک یا چیپس از ماشین دورشون کنید.و پول به هیچ وجه بهشون ندید.,ابشار خیلی قشنگی داره و مسیرش هم برای افرادی که مبتدی یا متوسط هستند خوبه کفش مناسب حتما بپوشید قبل از رسیدن به ابشار خوراکی یا هرچیزی که پشت شیشه عقب دارید رو بردارید و قایم کنید بچه ها یک دفعه به سمت ماشین میان و پول میخوان سعی کنید با دادن یک بسته پفک یا چیپس از ماشین دورشون کنید و پول به هیچ وجه بهشون ندید 
273,Mohammad Ebrahimi,5.0,شب ساعت 9 رسیدم اونجا . بچه ها در ورودی آتشگاه دور ماشین جمع شدند. مقداری شکلات و تنقلات تقسیم کردم بینشون. بیست هزار دادیم به یک نفر که نزدیک خونش بودیم تا مواظب ماشینها باشه. شب هم روی سکوها که تعبیه کرده بود اتراق کردیم. صبح ساعت 6 بیدارشدیم و از کوه بالا رفتیم . 7 تا آبشار هست آبشار سوم یک نفر که ایستاد و آبگوشت مشتی بزغاله پخت واسه ناهار بقیه تا آبشار 7 رفتیم. از آبشار 3 یک صخره نوردی که شیب 80 درجه داره باید رفت که برای زیر 15 سال توصیه نمیشود.,شب ساعت 9 رسیدم اونجا بچه ها در ورودی آتشگاه دور ماشین جمع شدند مقداری شکلات و تنقلات تقسیم کردم بینشون بیست هزار دادیم به یک نفر که نزدیک خونش بودیم تا مواظب ماشینها باشه شب هم روی سکوها که تعبیه کرده بود اتراق کردیم صبح ساعت 6 بیدارشدیم و از کوه بالا رفتیم 7 تا آبشار هست آبشار سوم یک نفر که ایستاد و آبگوشت مشتی بزغاله پخت واسه ناهار بقیه تا آبشار 7 رفتیم از آبشار 3 یک صخره نوردی که شیب 80 درجه داره باید رفت که برای زیر 15 سال توصیه نمیشود 
274,سوریان,5.0,آبشار آتشگاه، آبشاری است که در شهرستان لردگان، در فاصلهٔ ۴۰ کیلومتری شهر لردگان و ۱۹۰ کیلومتری شهرکرد و ۲۰ کیلومتری شهر سردشت قرار دارد.[۱] این آبشار در دره‌ای به طول سه کیلومتر قرار دارد که مسیر آن از محل چشمه تا اتصال به رودخانه خرسان فضای سرسبز از انواع درختان و گیاهان جنگلی فراگرفته‌است و شیب زیاد و پستی و بلندی‌های دره، آبشارهای کوچک متعددی را ایجاد کرده‌است. رود خرسان نیز که از سرچشمه‌های اصلی رودخانه بزرگ کارون و از ارتفاعات برفگیر دنا و زاگرس مرکزی در جنوب استان اصفهان و شمال کهگیلویه و بویر احمد سرچشمه می‌گیرد، پس از الحاق چندین رود و چشمه دیگر در چهار محال بختیاری وارد استان خوزستان می‌شود.,آبشار آتشگاه آبشاری است که در شهرستان لردگان در فاصلهٔ 40 کیلومتری شهر لردگان و 190 کیلومتری شهرکرد و 20 کیلومتری شهر سردشت قرار دارد 1 این آبشار در دره‌ای به طول سه کیلومتر قرار دارد که مسیر آن از محل چشمه تا اتصال به رودخانه خرسان فضای سرسبز از انواع درختان و گیاهان جنگلی فراگرفته‌است و شیب زیاد و پستی و بلندی‌های دره آبشارهای کوچک متعددی را ایجاد کرده‌است رود خرسان نیز که از سرچشمه‌های اصلی رودخانه بزرگ کارون و از ارتفاعات برفگیر دنا و زاگرس مرکزی در جنوب استان اصفهان و شمال کهگیلویه و بویر احمد سرچشمه می‌گیرد پس از الحاق چندین رود و چشمه دیگر در چهار محال بختیاری وارد استان خوزستان می‌شود 
275,saeed,4.0,حتما باید رفت تنها ضعف رو در ورودی روستا در جمع آوری کودکان بی تربیت که گدایی و طلب پول و خوراکی میکنند ، میتوان گفت,حتما باید رفت تنها ضعف رو در ورودی روستا در جمع آوری کودکان بی تربیت که گدایی و طلب پول و خوراکی میکنند میتوان گفت
276,رسول ساعدی,5.0,طولانی ترین ابشار ایران هر چه بالاتر میروید زیباتر میشود.محیطش شلوغه با خانواده هم میشه رفت امنیتشم خوب شده پلیس دائم حضود داره برای ابشار دومش که خیلی زیبا تر از اولی و بزرگ تر هست حتما کفش مناسب ببرید.,طولانی ترین ابشار ایران هر چه بالاتر میروید زیباتر میشود محیطش شلوغه با خانواده هم میشه رفت امنیتشم خوب شده پلیس دایم حضود داره برای ابشار دومش که خیلی زیبا تر از اولی و بزرگ تر هست حتما کفش مناسب ببرید 
277,Ebrahim Mahmoodi,5.0,با نازیبائیهای مسیر که حکایت از فقر مردمی و سوء استفاده از کودکان جهت گرفتن کمک از مسافرین بود.ولی مسیر رسیدن به آبشار زیبا و منحصر به فرد بود.با بچه کوچک و سالخورده نمیشه به پای آبشار رفت./,با نازیباییهای مسیر که حکایت از فقر مردمی و سوء استفاده از کودکان جهت گرفتن کمک از مسافرین بود ولی مسیر رسیدن به آبشار زیبا و منحصر به فرد بود با بچه کوچک و سالخورده نمیشه به پای آبشار رفت 
278,A Gh,5.0,آبشار بسیار زیبا و خنکی بود ، حتما پیشنهاد میشه,آبشار بسیار زیبا و خنکی بود حتما پیشنهاد میشه
279,mahdieh Ghobadi,4.0,با وجود جاده خراب و نا ایمنی که دارد ارزش دیدن دارد و دارای آرامش خاصی است. میتوان گفت یکی از طبیعت های بکر و دستنخورده است. بهتره قبل از اینکه جاده این آتشگاه زیر آب سد برود اونجا رو حتما ببنید و لذت ببرید,با وجود جاده خراب و نا ایمنی که دارد ارزش دیدن دارد و دارای آرامش خاصی است میتوان گفت یکی از طبیعت های بکر و دستنخورده است بهتره قبل از اینکه جاده این آتشگاه زیر آب سد برود اونجا رو حتما ببنید و لذت ببرید
280,argmandi amir,2.0,هنوز ی مقداری از مسیر جاده خاکی میباشد برای ایام پر بازدید اصلا مناسب نیست چون هیچ جای نشستنی خصوصا واسه خانواده گیر نمیاد جاهای هستن که اهالی واسه استراحت مسافرا درست کردن ولی کفاف نیست هفت تا ابشار هست که واسه رسیدن به ابشار هفتم مستلزم ۳ ساعت کوهنوردی میباشد و مهم تر از همه چیز وقتی با ماشین در حرکت هستید درب ماشین و قفل کنید بچه های ۴ تا ۵ سال شما رو احاطه میکنن و مثل زامبی ها به ماشین حمله میکنن بهترین کار این هست که مقداری پول خرد یا خوراک داشته باشین و هر وقت اومدن سراغتون بهشون بدین,هنوز ی مقداری از مسیر جاده خاکی میباشد برای ایام پر بازدید اصلا مناسب نیست چون هیچ جای نشستنی خصوصا واسه خانواده گیر نمیاد جاهای هستن که اهالی واسه استراحت مسافرا درست کردن ولی کفاف نیست هفت تا ابشار هست که واسه رسیدن به ابشار هفتم مستلزم 3 ساعت کوهنوردی میباشد و مهم تر از همه چیز وقتی با ماشین در حرکت هستید درب ماشین و قفل کنید بچه های 4 تا 5 سال شما رو احاطه میکنن و مثل زامبی ها به ماشین حمله میکنن بهترین کار این هست که مقداری پول خرد یا خوراک داشته باشین و هر وقت اومدن سراغتون بهشون بدین
281,Hamid,5.0,آبشار بسیار دیدنی و کم نظیر,آبشار بسیار دیدنی و کم نظیر
282,محمد رضایی از خانمیرزا,5.0,ببینید اهالی عزیز لردگان همشهری های عزیزم چکار کردین با این مسافرها ک این طور گله میکنن بختیاری انز نظر مرام ومهمان نوازی معروفه شماها دارین با این کارها از شهن ایل بختیاری کم میکنید لطفا با نهایت احترام با مسافرها برخورد کنید تا از شما تعریف کنن نه گله مندی تشکر,ببینید اهالی عزیز لردگان همشهری های عزیزم چکار کردین با این مسافرها ک این طور گله میکنن بختیاری انز نظر مرام ومهمان نوازی معروفه شماها دارین با این کارها از شهن ایل بختیاری کم میکنید لطفا با نهایت احترام با مسافرها برخورد کنید تا از شما تعریف کنن نه گله مندی تشکر
283,pantae adibfar,5.0,"یکی از آبشارهای زیبای ایرانه به نظر من اگر آدما یه مقدار طبیعتش و کثیف نکنن و تمیز نگهش دارن بهتر هم میشه پیشنهاد میکنم حتما تا اون آبشار آخری و برید , یه مقدار طولانیه ولی ارزش دیدن داره گرچه بعد از اون هم میشه باز رفت ولی تجهیزات نیاز داره پیشنهادم برای عکاسا استفاده از دوربینای ورزشیه مثل گوپرو و غیره چون حمل دوربینای اس ال آر یکم سخته",یکی از آبشارهای زیبای ایرانه به نظر من اگر آدما یه مقدار طبیعتش و کثیف نکنن و تمیز نگهش دارن بهتر هم میشه پیشنهاد میکنم حتما تا اون آبشار آخری و برید یه مقدار طولانیه ولی ارزش دیدن داره گرچه بعد از اون هم میشه باز رفت ولی تجهیزات نیاز داره پیشنهادم برای عکاسا استفاده از دوربینای ورزشیه مثل گوپرو و غیره چون حمل دوربینای اس ال آر یکم سخته
284,behroz akbari,1.0,خیلی بده مخصوصا خود ابشار اتشگاه بچه هاشون رو جمع نمیکنند میریزند دور ماشین اگر درا یا پنجره ها باز باشه هر چی باشه بر میدارند میشینند رو ماشین جلوی لاستیک ماشین میگند پثل بده اگر به یک نفرشون هم دادی دیگه ول کن نیستند سنگ میزنند تو شیشه ماشین بزرگرهاشون هم هیچ کاری باهشون ندارند,خیلی بده مخصوصا خود ابشار اتشگاه بچه هاشون رو جمع نمیکنند میریزند دور ماشین اگر درا یا پنجره ها باز باشه هر چی باشه بر میدارند میشینند رو ماشین جلوی لاستیک ماشین میگند پثل بده اگر به یک نفرشون هم دادی دیگه ول کن نیستند سنگ میزنند تو شیشه ماشین بزرگرهاشون هم هیچ کاری باهشون ندارند
285,maryam salimian,5.0,خوب بود,خوب بود
286,erfan sadri,3.0,قطعا جای قشنگیه ولی ما رفتیم یه روز تعطیل اینقدر شلوغ و بد مسیر بود که نتونستیم از شلوغی برسیم جایی که ماشین پارک کنیم. اونم بعد کلی رانندگی توی خاکی بد. مجبور شدیم لب دره دور بزنیم برگردیم. فاجعه بود بعد کلی رانندگی,قطعا جای قشنگیه ولی ما رفتیم یه روز تعطیل اینقدر شلوغ و بد مسیر بود که نتونستیم از شلوغی برسیم جایی که ماشین پارک کنیم اونم بعد کلی رانندگی توی خاکی بد مجبور شدیم لب دره دور بزنیم برگردیم فاجعه بود بعد کلی رانندگی
287,arash,5.0,در طبیعت نواهای آرامش بخش زیادی در حال نواختن هستند که انسان های زیادی برای آرام شدن و تجربه ی طعم واقعی زندگی نیاز به شنیدن این صداها دارند. برخی مواقع آن ها همین را بهانه ای جهت شروع یک گردش و ماجراجویی می کنند و همان طور در دل کوه و جنگل می روند و می رود تا به آرامش رسند. گاه برخی از انسان ها آرامش را در صدای خروش و ریزش آب می بینند، به همین جهت رودها و آبشار ها را محلی برای بازیابی روح انتخاب می کنند. چه لذت بخش تر است که حین گوش جان دادن به صدای خروش و ریزش آب آبشار ها مناظر زیبایی و چشم گیری در اطراف وجود داشته باشد. در ایران آبشار های زیادی با مناظر و صداهای آرامش بخشی وجود دارد که تا به حال کارناوال برخی از آنها را به شما معرفی کرده است:,در طبیعت نواهای آرامش بخش زیادی در حال نواختن هستند که انسان های زیادی برای آرام شدن و تجربه ی طعم واقعی زندگی نیاز به شنیدن این صداها دارند برخی مواقع آن ها همین را بهانه ای جهت شروع یک گردش و ماجراجویی می کنند و همان طور در دل کوه و جنگل می روند و می رود تا به آرامش رسند گاه برخی از انسان ها آرامش را در صدای خروش و ریزش آب می بینند به همین جهت رودها و آبشار ها را محلی برای بازیابی روح انتخاب می کنند چه لذت بخش تر است که حین گوش جان دادن به صدای خروش و ریزش آب آبشار ها مناظر زیبایی و چشم گیری در اطراف وجود داشته باشد در ایران آبشار های زیادی با مناظر و صداهای آرامش بخشی وجود دارد که تا به حال کارناوال برخی از آنها را به شما معرفی کرده است 
